category,name,price_min,price_max,link
iPhone,Apple iPhone 17e,22900,30900,https://www.bnn.in.th/en/p/apple-iphone-17e-256gb-soft-pink-195951030982_dk7k03?ref=category&verify=1
iPhone,Apple iPhone 17,29500,37500,https://www.bnn.in.th/en/p/apple-iphone-17-256gb-black-195950643596_zo7380?ref=category&verify=1
iPhone,Apple iPhone Air,29900,46500,https://www.bnn.in.th/en/p/apple-iphone-air-256gb-light-gold-195950623079_z7g39w?ref=category&verify=1
iPhone,Apple iPhone 17 Pro,43900,59900,https://www.bnn.in.th/en/p/apple-iphone-17-pro-256gb-deep-blue-195950627657_rqn5v8?ref=category&verify=1
iPhone,Apple iPhone 17 Pro Max,48900,80900,https://www.bnn.in.th/en/p/apple-iphone-17-pro-max-256gb-cosmic-orange-195950639100_dyn0w4?ref=category&verify=1
iPhone,Apple iPhone 16,26500,38800,https://www.bnn.in.th/en/p/apple-iphone-16-128gb-teal-195949822698_z77oe6?ref=category&verify=1
iPhone,Apple iPhone 16 Plus,29500,44400,https://www.bnn.in.th/en/p/apple-iphone-16-plus-128gb-ultramarine-195949722844_d40jo2?ref=category&verify=1
iPhone,Apple iPhone 16e White,19400,23400,https://www.bnn.in.th/en/p/apple-iphone-16e-128gb-white-195950112504_dmx9vn?ref=category&verify=1
iPhone,Apple iPhone 16e Black,19400,23400,https://www.bnn.in.th/en/p/apple-iphone-16e-128gb-black-195950112498_d87xok?ref=category&verify=1
iPhone,Apple iPhone 15,23500,41900,https://www.bnn.in.th/en/p/apple-iphone-15-128gb-pink-195949036255_zwejmp?ref=category&verify=1
iPhone,Apple iPhone 15 Plus,25900,46900,https://www.bnn.in.th/en/p/apple-iphone-15-plus-128gb-black-195949040740_d8qjjk?ref=category&verify=1
iPhone,Apple iPhone 14,17100,34500,https://www.bnn.in.th/en/p/apple-iphone-14-128gb-midnight-194253408260_zve03p?ref=category&verify=1
iPhone,Apple iPhone 13 128GB Midnight,15200,15200,https://www.bnn.in.th/en/p/apple-iphone-13-128gb-midnight-194252707241_dxlvy0?ref=category&verify=1
iPhone,Apple iPhone 13 128GB Starlight,15200,15200,https://www.bnn.in.th/en/p/apple-iphone-13-128gb-starlight-194252707517_zow0mk?ref=category&verify=1
iPhone,Apple iPhone 13 128GB Green,14900,14900,https://www.bnn.in.th/en/p/n-s-g-194253128977_z9x626?ref=category&verify=1
iPad,Apple iPad Air 11 inch (M4) Wi-Fi,24700,46700,https://www.bnn.in.th/en/p/apple-ipad-air-11-m4-wi-fi-128gb-blue-2026-195950823851_zgeqq3?ref=category&verify=1
iPad,Apple iPad Air 13 inch (M4) Wi-Fi,31800,53800,https://www.bnn.in.th/en/p/apple-ipad-air-13-m4-wi-fi-128gb-space-gray-2026-195950797862_zew9v9?ref=category&verify=1
iPad,Apple iPad Air 11 inch (M4) Wi-Fi + Cellular,30700,52700,https://www.bnn.in.th/en/p/apple-ipad-air-11-m4-wi-fi-cellular-128gb-purple-2026-195950811230_dm54kv?ref=category&verify=1
iPad,Apple iPad Air 13 inch (M4) Wi-Fi + Cellular,37800,59800,https://www.bnn.in.th/en/p/apple-ipad-air-13-m4-wi-fi-cellular-128gb-starlight-2026-195950785258_dn8gw2?ref=category&verify=1
iPad,Apple iPad Pro 11 inch (M5) Wi-Fi,42900,83900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-256gb-with-standard-glass-space-black-2025-195950395464_dl77we?ref=category&verify=1
iPad,Apple iPad Pro 11 inch (M5) Wi-Fi with Nano-texture glass,68900,87900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-1tb-with-nano-texture-glass-space-black-2025-195950396782_z7gg91?ref=category&verify=1
iPad,Apple iPad Pro 11 inch (M5) Wi-Fi + Cellular,49900,90900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-cellular-256gb-with-standard-glass-silver-2025-195950401080_zv44y4?ref=category&verify=1
iPad,Apple iPad Pro 11 inch (M5) Wi-Fi + Cellular with Nano-texture glass,75900,94900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-cellular-1tb-with-nano-texture-glass-space-black-2025-195950402285_dynnw4?ref=category&verify=1
iPad,Apple iPad Pro 13 inch (M5) Wi-Fi,54900,95900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-256gb-with-standard-glass-space-black-2025-195950398144_dx99v6?ref=category&verify=1
iPad,Apple iPad Pro 13 inch (M5) Wi-Fi with Nano-texture glass,80900,99900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-1tb-with-nano-texture-glass-space-black-2025-195950399462_d488oe?ref=category&verify=1
iPad,Apple iPad Pro 13 inch (M5) Wi-Fi + Cellular,61900,102900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-cellular-256gb-with-standard-glass-silver-2025-195950404081_zpxxmp?ref=category&verify=1
iPad,Apple iPad Pro 13 inch (M5) Wi-Fi + Cellular with Nano-texture glass,87900,106900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-cellular-1tb-with-nano-texture-glass-space-black-2025-195950405286_d488ee?ref=category&verify=1
iPad,Apple iPad 11 (A16) Wi-Fi 11 inch (2025),16900,27900,https://www.bnn.in.th/en/p/apple-ipad-11-a16-wi-fi-128gb-silver-2025-11th-gen-195950086294_zjkpe8?ref=category&verify=1
iPad,Apple iPad 11 (A16) Wi-Fi + Cellular 11 inch (2025),22900,33900,https://www.bnn.in.th/en/p/apple-ipad-11-a16-wi-fi-cellular-128gb-pink-2025-11th-gen-195950105377_r67g7n?ref=category&verify=1
iPad,Apple iPad Air 11 inch (M3) Wi-Fi,18900,36900,https://www.bnn.in.th/en/p/apple-ipad-air-11-m3-wi-fi-128gb-blue-2025-5th-gen-195949997556_z96941?ref=category&verify=1
iPad,Apple iPad Air 11 inch (M3) Wi-Fi + Cellular,24900,42900,https://www.bnn.in.th/en/p/apple-ipad-air-11-m3-wi-fi-cellular-128gb-purple-2025-5th-gen-195949986932_z3q030?ref=category&verify=1
iPad,Apple iPad Air 13 inch (M3) Wi-Fi,25900,43900,https://www.bnn.in.th/en/p/apple-ipad-air-13-m3-wi-fi-256gb-space-grey-2025-2nd-gen-195949976322_zjkpxv?ref=category&verify=1
iPad,Apple iPad Air 13 inch (M3) Wi-Fi + Cellular,31900,49900,https://www.bnn.in.th/en/p/apple-ipad-air-13-m3-wi-fi-cellular-256gb-space-grey-2025-2nd-gen-195949964800_d20nm6?ref=category&verify=1
