name,price_min,price_max,link
Apple iPad Air 11 inch (M4) Wi-Fi,24700,46700,https://www.bnn.in.th/en/p/apple-ipad-air-11-m4-wi-fi-128gb-blue-2026-195950823851_zgeqq3?ref=list&verify=1
Apple iPad Air 13 inch (M4) Wi-Fi,31800,53800,https://www.bnn.in.th/en/p/apple-ipad-air-13-m4-wi-fi-128gb-space-gray-2026-195950797862_zew9v9?ref=list&verify=1
Apple iPad Air 11 inch (M4) Wi-Fi + Cellular,30700,52700,https://www.bnn.in.th/en/p/apple-ipad-air-11-m4-wi-fi-cellular-128gb-purple-2026-195950811230_dm54kv?ref=list&verify=1
Apple iPad Air 13 inch (M4) Wi-Fi + Cellular,37800,59800,https://www.bnn.in.th/en/p/apple-ipad-air-13-m4-wi-fi-cellular-128gb-starlight-2026-195950785258_dn8gw2?ref=list&verify=1
Apple iPad Pro 11 inch (M5) Wi-Fi,42900,83900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-256gb-with-standard-glass-space-black-2025-195950395464_dl77we?ref=list&verify=1
Apple iPad Pro 11 inch (M5) Wi-Fi with Nano-texture glass,68900,87900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-1tb-with-nano-texture-glass-space-black-2025-195950396782_z7gg91?ref=list&verify=1
Apple iPad Pro 11 inch (M5) Wi-Fi + Cellular,49900,90900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-cellular-256gb-with-standard-glass-silver-2025-195950401080_zv44y4?ref=list&verify=1
Apple iPad Pro 11 inch (M5) Wi-Fi + Cellular with Nano-texture glass,75900,94900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-m5-wi-fi-cellular-1tb-with-nano-texture-glass-space-black-2025-195950402285_dynnw4?ref=list&verify=1
Apple iPad Pro 13 inch (M5) Wi-Fi,54900,95900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-256gb-with-standard-glass-space-black-2025-195950398144_dx99v6?ref=list&verify=1
Apple iPad Pro 13 inch (M5) Wi-Fi with Nano-texture glass,80900,99900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-1tb-with-nano-texture-glass-space-black-2025-195950399462_d488oe?ref=list&verify=1
Apple iPad Pro 13 inch (M5) Wi-Fi + Cellular,61900,102900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-cellular-256gb-with-standard-glass-silver-2025-195950404081_zpxxmp?ref=list&verify=1
Apple iPad Pro 13 inch (M5) Wi-Fi + Cellular with Nano-texture glass,87900,106900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-m5-wi-fi-cellular-1tb-with-nano-texture-glass-space-black-2025-195950405286_d488ee?ref=list&verify=1
Apple iPad 11 (A16) Wi-Fi 11 inch (2025),16900,27900,https://www.bnn.in.th/en/p/apple-ipad-11-a16-wi-fi-128gb-silver-2025-11th-gen-195950086294_zjkpe8?ref=list&verify=1
Apple iPad 11 (A16) Wi-Fi + Cellular 11 inch (2025),22900,33900,https://www.bnn.in.th/en/p/apple-ipad-11-a16-wi-fi-cellular-128gb-pink-2025-11th-gen-195950105377_r67g7n?ref=list&verify=1
Apple iPad Air 11 inch (M3) Wi-Fi,18900,36900,https://www.bnn.in.th/en/p/apple-ipad-air-11-m3-wi-fi-128gb-blue-2025-5th-gen-195949997556_z96941?ref=list&verify=1
Apple iPad Air 11 inch (M3) Wi-Fi + Cellular,24900,42900,https://www.bnn.in.th/en/p/apple-ipad-air-11-m3-wi-fi-cellular-128gb-purple-2025-5th-gen-195949986932_z3q030?ref=list&verify=1
Apple iPad Air 13 inch (M3) Wi-Fi,25900,43900,https://www.bnn.in.th/en/p/apple-ipad-air-13-m3-wi-fi-256gb-space-grey-2025-2nd-gen-195949976322_zjkpxv?ref=list&verify=1
Apple iPad Air 13 inch (M3) Wi-Fi + Cellular,31900,49900,https://www.bnn.in.th/en/p/apple-ipad-air-13-m3-wi-fi-cellular-256gb-space-grey-2025-2nd-gen-195949964800_d20nm6?ref=list&verify=1
Apple iPad mini 7 (A17 Pro) Wi-Fi 8.3 inch,18600,29600,https://www.bnn.in.th/en/p/apple-ipad-mini-83-inch-wi-fi-128gb-blue-2024-7th-gen-195949729256_zvjqyp?ref=list&verify=1
Apple iPad mini 7 (A17 Pro) Wi-Fi + Cellular 8.3 inch,24600,35600,https://www.bnn.in.th/en/p/apple-ipad-mini-83-inch-wi-fi-cellular-128gb-space-gray-2024-7th-gen-195949755279_r0kp9k?ref=list&verify=1
Apple iPad Pro 11 inch (M4) Wi-Fi,29900,53900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-inch-wi-fi-256gb-with-standard-glass-space-black-2024-5th-gen-195949222542_dk0wwq?ref=list&verify=1
Apple iPad Pro 11 inch (M4) Wi-Fi with Nano-texture glass,49900,57900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-inch-wi-fi-1tb-with-nano-texture-glass-silver-2024-5th-gen-195949467165_dk0w1j?ref=list&verify=1
Apple iPad Pro 13 inch (M4) Wi-Fi,38900,67200,https://www.bnn.in.th/en/p/apple-ipad-pro-13-inch-wi-fi-256gb-with-standard-glass-space-black-2024-7th-gen-195949238710_z3qggl?ref=list&verify=1
Apple iPad Pro 13 inch (M4) Wi-Fi with Nano-texture glass,58900,66900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-inch-wi-fi-1tb-with-nano-texture-glass-space-black-2024-7th-gen-195949467851_z3qg49?ref=list&verify=1
